,source_url,full_text,id_str,favorite_count,retweet_count,source,id,lang,user,author,hashtags,quoted_status_id,quoted_status_id_str,in_reply_to_status_id,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_status_id_str,in_reply_to_screen_name
0,http://twitter.com/download/android,"#WestBengalElections2021 

Phase Vl Polling begins for 
43 Assembly Constituencies

(04 Dist.  - North 24 Parganas-2, Nadia-2, East Burdwan-2, Uttar Dinajpur) 

#WestBengalPolls
#WestBengalElections
#TMC #BJP #INC #CPI #CPIM #AIMIM #ISF https://t.co/5AZoqgnyAY",1385056062491959296,4,1,Twitter for Android,1385056062491959296,en,LSElections2024,LSElections2024,"['WestBengalElections2021', 'WestBengalPolls', 'WestBengalElections', 'TMC', 'BJP', 'INC', 'CPI', 'CPIM', 'AIMIM', 'ISF']",,,,,,,
1,http://twitter.com/download/android,"#WestBengalElections2021 

Phase V Polling begins for 
45 Assembly Constituencies

(06 Dist. - North Parganas-1, Darjeeling,  Nadia-1, Kalimpong,  East Burdwan-1, Jalpaiguri) 

#WestBengalPolls
#WestBengalElections
#TMC #BJP #INC #CPI #CPIM #AIMIM #ISF

(PIC: ANI) https://t.co/H9UvjhxveJ",1383234126203867137,4,2,Twitter for Android,1383234126203867137,en,LSElections2024,LSElections2024,"['WestBengalElections2021', 'WestBengalPolls', 'WestBengalElections', 'TMC', 'BJP', 'INC', 'CPI', 'CPIM', 'AIMIM', 'ISF']",,,,,,,
2,http://twitter.com/download/android,"Around 57% Polling for Phase 01 reported in bengal till 2PM. Largely peaceful polling with few cases of EVM malfunctions has been reported. 

#WestBengalElections2021
#WestBengalPolls
#AssemblyElections2021 
#AITC #TMC #BJP #INC #ISF #CPI #CPIM #AIMIM",1375741705748537346,4,0,Twitter for Android,1375741705748537346,en,LSElections2024,LSElections2024,"['WestBengalElections2021', 'WestBengalPolls', 'AssemblyElections2021', 'AITC', 'TMC', 'BJP', 'INC', 'ISF', 'CPI', 'CPIM', 'AIMIM']",,,,,,,
3,http://twitter.com/download/android,"Greetings to 1st time voters for 
#WestBengalElections2021
Polling starts at 07AM. Your vote can make difference. #GoVote 

#WestBengalPolls
#AssemblyElections2021 
#AITC #TMC #BJP #INC #ISF #CPI #CPIM #AIMIM https://t.co/2faPul8M4p",1375617870848139269,6,1,Twitter for Android,1375617870848139269,en,LSElections2024,LSElections2024,"['WestBengalElections2021', 'GoVote', 'WestBengalPolls', 'AssemblyElections2021', 'AITC', 'TMC', 'BJP', 'INC', 'ISF', 'CPI', 'CPIM', 'AIMIM']",,,,,,,
4,http://twitter.com/download/android,"#WestBengalElections2021
Registered voters who are unable to show the EPIC can provide any of these alternate photo IDs as an ID proof.  

#GoVote
#WestBengalPolls
#AssemblyElections2021
#AITC #TMC #BJP #INC #CPIM #CPI #ISF #AIMIM https://t.co/q3FrWs1xPt",1375614364024070145,1,0,Twitter for Android,1375614364024070145,en,LSElections2024,LSElections2024,"['WestBengalElections2021', 'GoVote', 'WestBengalPolls', 'AssemblyElections2021', 'AITC', 'TMC', 'BJP', 'INC', 'CPIM', 'CPI', 'ISF', 'AIMIM']",,,,,,,
5,http://twitter.com/download/android,"#WestBengalElections2021
Phase 01 Polling starts at 07AM.  
#GoVote 

#WestBengalPolls
#AssemblyElections2021 
#AITC #TMC #BJP #INC #ISF #CPI #CPIM #AIMIM https://t.co/RKPZ1CnnhX",1375613419726929922,5,0,Twitter for Android,1375613419726929922,en,LSElections2024,LSElections2024,"['WestBengalElections2021', 'GoVote', 'WestBengalPolls', 'AssemblyElections2021', 'AITC', 'TMC', 'BJP', 'INC', 'ISF', 'CPI', 'CPIM', 'AIMIM']",,,,,,,
6,http://twitter.com/download/android,"#Khejuri (SC) Vidhan Sabha #215
Phase 01:
Key Contestants...
#HimangshuDas from #CPIM
#ParthaPratimDas from #TMC
#SantanuPramanik from #BJP
Polling on 27th March
Results 02nd May 2021

#WestBengalElections2021
#bengalpolls2021
@BJP4Bengal @AITCofficial @cpimspeak @INCWestBengal https://t.co/Lv7r5amHF2",1373962004998713348,2,0,Twitter for Android,1373962004998713348,en,LSElections2024,LSElections2024,"['Khejuri', 'HimangshuDas', 'CPIM', 'ParthaPratimDas', 'TMC', 'SantanuPramanik', 'BJP', 'WestBengalElections2021', 'bengalpolls2021']",,,,,,,
7,http://twitter.com/download/android,"#Bhagabanpur Vidhan Sabha. #214
Phase 01:
Key Contestants...
#ShiuMaiti from #INC
#ArdhenduMaity from #TMC
#RabindranathMaity from #BJP
Polling on 27th March. 
Results 02nd May 2021.

#WestBengalElections2021
#bengalpolls2021
@BJP4Bengal @AITCofficial @cpimspeak @INCWestBengal https://t.co/uIF0Lyf9cG",1373959089349271556,1,0,Twitter for Android,1373959089349271556,en,LSElections2024,LSElections2024,"['Bhagabanpur', 'ShiuMaiti', 'INC', 'ArdhenduMaity', 'TMC', 'RabindranathMaity', 'BJP', 'WestBengalElections2021', 'bengalpolls2021']",,,,,,,
8,http://twitter.com/download/android,"#Kanthi Uttar Vidhan Sabha. #213
Phase 01:
Key Contestants...
#SutanuMaity from #CPIM
#TarunKumarJana from #TMC
#SunitaSingha from #BJP
Polling on 27th March. 
Results 02nd May 2021.

#WestBengalElections2021
#bengalpolls2021
@BJP4Bengal @AITCofficial @cpimspeak @INCWestBengal https://t.co/fruQALJNLq",1373948651307855873,0,0,Twitter for Android,1373948651307855873,en,LSElections2024,LSElections2024,"['Kanthi', 'SutanuMaity', 'CPIM', 'TarunKumarJana', 'TMC', 'SunitaSingha', 'BJP', 'WestBengalElections2021', 'bengalpolls2021']",,,,,,,
9,http://twitter.com/download/android,"#Patashpur Vidhan Sabha. #212
Phase 01:
Key Contestants...
#SaikatGiri from #CPI 
#UttamBarrick from #TMC
#AmbujakshaMahanti from #BJP
Polling on 27th March. 
Results 02nd May 2021.

#WestBengalElections2021
#bengalpolls2021
@BJP4Bengal @AITCofficial @cpimspeak @INCWestBengal https://t.co/EjY6nPrRaI",1373946096423030787,2,0,Twitter for Android,1373946096423030787,en,LSElections2024,LSElections2024,"['Patashpur', 'SaikatGiri', 'CPI', 'UttamBarrick', 'TMC', 'AmbujakshaMahanti', 'BJP', 'WestBengalElections2021', 'bengalpolls2021']",,,,,,,
